"filename", "language", "C++", "Python", "comment", "blank", "total"
"d:\Vscdoe_cpp_projects\helloworld\l\strack.cpp", "C++", 24, 0, 0, 1, 25
"d:\Vscdoe_cpp_projects\helloworld\l\test.cpp", "C++", 24, 0, 0, 8, 32
"d:\Vscdoe_cpp_projects\helloworld\l\teststack.cpp", "C++", 15, 0, 0, 4, 19
"d:\Vscdoe_cpp_projects\helloworld\lanqiao\20221111.cpp", "C++", 14, 0, 0, 0, 14
"d:\Vscdoe_cpp_projects\helloworld\lanqiao\20221111_01.cpp", "C++", 33, 0, 0, 0, 33
"d:\Vscdoe_cpp_projects\helloworld\lanqiao\20221111_02.cpp", "C++", 30, 0, 0, 2, 32
"d:\Vscdoe_cpp_projects\helloworld\lanqiao\20221111_03.cpp", "C++", 27, 0, 0, 1, 28
"d:\Vscdoe_cpp_projects\helloworld\llove.cpp", "C++", 19, 0, 0, 3, 22
"d:\Vscdoe_cpp_projects\helloworld\luogu\1009.cpp", "C++", 23, 0, 0, 4, 27
"d:\Vscdoe_cpp_projects\helloworld\luogu\maxnum_noip1998.cpp", "C++", 24, 0, 0, 1, 25
"d:\Vscdoe_cpp_projects\helloworld\otherOJ\1781_luogu.cpp", "C++", 11, 0, 0, 0, 11
"d:\Vscdoe_cpp_projects\helloworld\test.cpp", "C++", 12, 0, 0, 2, 14
"d:\Vscdoe_cpp_projects\helloworld\test1.cpp", "C++", 42, 0, 4, 4, 50
"d:\Vscdoe_cpp_projects\helloworld\test12.cpp", "C++", 7, 0, 0, 2, 9
"d:\Vscdoe_cpp_projects\helloworld\tete.cpp", "C++", 19, 0, 0, 1, 20
"d:\Vscdoe_cpp_projects\helloworld\wxy.cpp", "C++", 26, 0, 0, 1, 27
"Total", "-", 1504, 3, 22, 139, 1668
